frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
50,1,0.9362678527832031,594.132080078125,302.4554443359375,389.44830322265625,376.8320007324219,535.5140380859375,265.4552001953125,685.4932861328125,319.5254211425781,906.197265625,410.27239990234375,,,401.34344482421875,384.97021484375,583.46875,480.5645751953125,0.515316,0.6105343,0.64618,0.071007505,0.52946395,0.5023177
51,1,0.9349920153617859,593.8290405273438,302.253173828125,390.3371276855469,377.7525939941406,533.7671508789062,265.6812438964844,684.322021484375,319.24884033203125,906.384521484375,409.9674072265625,,,400.811279296875,385.2081604003906,,,0.5161153,0.61235934,0.6490241,0.07063879,0.52595735,0.4976198
52,1,0.9345173239707947,593.7380981445312,302.16619873046875,390.6226806640625,378.083740234375,533.6092529296875,265.7604675292969,684.1972045898438,319.2964782714844,906.3663940429688,409.9462585449219,,,400.8580017089844,385.22930908203125,,,0.5161394,0.6124741,0.64937115,0.070598945,0.5254785,0.4970678
53,1,0.9298522472381592,593.06640625,302.45440673828125,391.26495361328125,378.8500671386719,532.88330078125,266.6612243652344,684.01171875,320.6021728515625,905.524658203125,410.8321533203125,,,398.8236999511719,385.5621643066406,,,0.51716906,0.6121546,0.649313,0.07022639,0.52457577,0.49774867
54,1,0.9289158582687378,593.8223266601562,302.22601318359375,392.8749084472656,381.10028076171875,532.896728515625,265.2379455566406,689.7647705078125,323.9542236328125,908.030029296875,405.53985595703125,,,391.0826416015625,380.27178955078125,,,0.53737414,0.6017886,0.65430516,0.070130885,0.52802837,0.48122823
55,1,0.9304304122924805,593.1395263671875,302.4616394042969,393.760009765625,382.58929443359375,530.5196533203125,265.7672424316406,688.2852783203125,324.92620849609375,907.911865234375,406.4305419921875,,,387.4487609863281,381.1534729003906,,,0.53880614,0.60029596,0.65445614,0.068934135,0.530915,0.48233965
56,1,0.9314073920249939,592.2379150390625,302.54486083984375,393.91522216796875,383.127197265625,527.8181762695312,265.9681396484375,686.9096069335938,325.302734375,908.2252197265625,406.9219970703125,,,384.2669677734375,381.9857482910156,,,0.5394304,0.5994343,0.65635693,0.06797131,0.5304436,0.47940874
57,1,0.9321379065513611,591.5836791992188,302.5699768066406,394.9889221191406,384.61944580078125,526.1397705078125,266.18231201171875,685.9411010742188,325.4981689453125,908.3383178710938,406.97113037109375,,,381.800048828125,382.3905334472656,,,0.5403147,0.59842056,0.6570929,0.06729935,0.5312895,0.47834963
58,1,0.9322224855422974,591.3543701171875,302.57366943359375,395.1221923828125,385.15557861328125,526.1693115234375,266.158447265625,685.9834594726562,325.50299072265625,908.376953125,406.9995422363281,,,381.7640380859375,382.39849853515625,,,0.54029864,0.59840083,0.65703183,0.06728638,0.5313887,0.47850358
59,1,0.9322551488876343,590.957275390625,302.5696105957031,395.01568603515625,385.3271789550781,523.4371337890625,266.27227783203125,684.55224609375,325.7143249511719,908.8906860351562,406.85400390625,,,379.2188720703125,382.6479797363281,,,0.5412137,0.5977557,0.66042876,0.066247806,0.5291199,0.47352728
