epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1062.79,0.40534,0.62585,0.47275,0.37598,0.96678,0.97832,0.99091,0.99179,0.98131,0.97832,0.99091,0.99179,0.92704,0.25121,0.38576,0.58379,0.29293,0.79939,0.00137984,0.00137984,0.00137984
89,1077.85,0.3765,0.44205,0.46469,0.3846,0.93846,0.98098,0.99091,0.989,0.96207,0.98098,0.99091,0.989,0.92581,0.28846,0.40982,0.58902,0.29345,0.81231,0.00137654,0.00137654,0.00137654
90,1087.08,0.38524,0.67723,0.47203,0.36379,0.94887,0.98217,0.99885,0.98955,0.96211,0.98217,0.99885,0.98955,0.90008,0.29487,0.52381,0.59516,0.28549,0.8078,0.00137324,0.00137324,0.00137324
91,1098.85,0.41238,0.54227,0.48637,0.39757,0.94936,0.98332,0.99957,0.98832,0.97798,0.98332,0.99957,0.98832,0.91868,0.23701,0.42346,0.59311,0.27996,0.79113,0.00136994,0.00136994,0.00136994
92,1107.9,0.36693,0.58841,0.48513,0.39516,0.94307,0.98329,0.99091,0.98931,0.97033,0.98329,0.99091,0.98931,0.86958,0.25462,0.5306,0.59115,0.28162,0.79451,0.00136664,0.00136664,0.00136664
93,1117.05,0.37078,0.51312,0.46856,0.37691,0.94018,0.9831,0.99091,0.98775,0.97679,0.9831,0.99091,0.98775,0.91802,0.24015,0.40756,0.58638,0.27292,0.78907,0.00136334,0.00136334,0.00136334
94,1129.76,0.40673,0.57266,0.47849,0.39605,0.94948,0.98182,0.99091,0.98695,0.97922,0.98182,0.99091,0.98695,0.90756,0.22193,0.41411,0.58681,0.28264,0.78585,0.00136004,0.00136004,0.00136004
95,1140.71,0.34612,0.73814,0.49261,0.37611,0.92818,0.98344,0.99091,0.98799,0.97297,0.98344,0.99091,0.98799,0.92646,0.26033,0.43595,0.58699,0.26588,0.79845,0.00135674,0.00135674,0.00135674
96,1150.83,0.37511,0.52087,0.46248,0.36813,0.94673,0.98969,0.99091,0.98989,0.98123,0.98969,0.99091,0.98989,0.92008,0.24442,0.41827,0.58186,0.27878,0.79682,0.00135344,0.00135344,0.00135344
97,1161.21,0.37241,0.67376,0.48598,0.3798,0.94692,0.98907,0.99901,0.99121,0.98015,0.98907,0.99901,0.99121,0.91104,0.26216,0.46001,0.58766,0.27455,0.8008,0.00135014,0.00135014,0.00135014
