epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,1506.14,0.56275,0.3192,0.8694,0.85412,0.84685,0.83612,0.51824,1.15681,0.48972,1.28537,0.000953657,0.000953657,0.000953657
170,1515.03,0.57799,0.32273,0.86401,0.89549,0.84068,0.82346,0.51114,1.15695,0.48917,1.25132,0.000950828,0.000950828,0.000950828
171,1524,0.55363,0.31987,0.85963,0.90312,0.83451,0.81881,0.51858,1.15104,0.49717,1.25917,0.000947999,0.000947999,0.000947999
172,1532.23,0.56621,0.32334,0.87295,0.89683,0.86436,0.86026,0.51133,1.16783,0.51107,1.28125,0.000945169,0.000945169,0.000945169
173,1541.46,0.56882,0.32327,0.85998,0.85298,0.81881,0.79889,0.49567,1.17747,0.50807,1.28108,0.00094234,0.00094234,0.00094234
174,1549.47,0.55803,0.3147,0.86482,0.92555,0.86612,0.87367,0.54774,1.14096,0.49272,1.26726,0.00093951,0.00093951,0.00093951
175,1559.26,0.5532,0.31083,0.8556,0.89393,0.84297,0.84124,0.50814,1.16356,0.50176,1.28521,0.000936681,0.000936681,0.000936681
176,1567.43,0.55003,0.31546,0.86252,0.90229,0.81481,0.82162,0.51338,1.11192,0.49127,1.24103,0.000933851,0.000933851,0.000933851
177,1576.78,0.53735,0.31199,0.85304,0.90556,0.80864,0.81459,0.50656,1.12518,0.47736,1.25164,0.000931022,0.000931022,0.000931022
178,1584.76,0.54714,0.31544,0.85388,0.92042,0.78501,0.82273,0.52893,1.12627,0.46689,1.25358,0.000928193,0.000928193,0.000928193
179,1594.04,0.53557,0.31551,0.85763,0.89347,0.82071,0.80635,0.49666,1.14121,0.47707,1.29037,0.000925363,0.000925363,0.000925363
180,1602.05,0.54332,0.31825,0.85643,0.88424,0.82075,0.80097,0.49201,1.15453,0.48788,1.28901,0.000922534,0.000922534,0.000922534
181,1611.14,0.5338,0.31365,0.85851,0.87386,0.76218,0.76655,0.46403,1.1822,0.48561,1.31202,0.000919704,0.000919704,0.000919704
182,1619.14,0.56562,0.32586,0.86364,0.86876,0.78899,0.78329,0.47549,1.17547,0.48334,1.29023,0.000916875,0.000916875,0.000916875
